Order id,Razón Social ,Sucursal,Métodos De Pago,Subtotal $,Subvención Yummy $,Subtotal Mas Subvención Yummy,Total Cupones de Comercio $,IGTF Comercio $,Fecha De La Orden,Tipo de Delivery,Estado de la orden
"18742575","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","InstantDebit","2.8","0","2.8","0","0","2026-03-15 11:19:12.055","CoreLogistics","Finalizado"
"18742229","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","punto_de_venta","9.1","0","9.1","0","0","2026-03-15 07:52:12.136","CoreLogistics","Finalizado"
"18742043","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","InstantDebit","21.69","0","21.69","0","0","2026-03-14 23:28:46.478","CoreLogistics","Finalizado"
"18741871","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","CreditsPagoMovilV2","17","0","17","0","0","2026-03-14 23:03:39.871","CoreLogistics","Finalizado"
"18741841","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","CreditsPagoMovilV2","8.5","0","8.5","0","0","2026-03-14 22:56:08.021","CoreLogistics","Finalizado"
"18741859","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","megasoft","8.4","0","8.4","0","0","2026-03-14 22:56:00.270","CoreLogistics","Finalizado"
"18740685","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","CreditsPagoMovilV2","5","0","5","0","0","2026-03-14 22:02:08.485","CoreLogistics","Finalizado"
"18741225","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","CreditsPagoMovilV2","4.1","0","4.1","0","0","2026-03-14 21:47:45.451","CoreLogistics","Finalizado"
"18741149","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","CreditsPagoMovilV2","8.2","0","8.2","0","0","2026-03-14 21:47:37.281","CoreLogistics","Finalizado"
"18740943","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","CreditsPagoMovilV2","3.2","0","3.2","0","0","2026-03-14 21:30:36.840","CoreLogistics","Finalizado"
"18740466","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","CreditsPagoMovilV2","7.6","0","7.6","0","0","2026-03-14 21:01:11.094","CoreLogistics","Finalizado"
"18739530","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","stripe","23.62","0","23.62","0","0","2026-03-14 19:53:09.835","CoreLogistics","Finalizado"
"18739379","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","InstantDebit","20.29","0","20.29","0","0","2026-03-14 19:33:30.517","CoreLogistics","Finalizado"
"18739229","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","megasoft","35.99","0","35.99","0","0","2026-03-14 19:31:28.817","CoreLogistics","Finalizado"
"18738780","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","InstantDebit","2.7","0","2.7","0","0","2026-03-14 18:34:37.755","CoreLogistics","Finalizado"
"18737947","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","CreditsPagoMovilV2","7.42","0","7.42","0","0","2026-03-14 17:21:13.671","CoreLogistics","Finalizado"
"18735628","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","stripe","14.43","0","14.43","0","0","2026-03-14 14:07:35.892","CoreLogistics","Finalizado"
"18734870","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","punto_de_venta","3.34","0","3.34","0","0","2026-03-14 13:01:51.175","CoreLogistics","Finalizado"
"18734373","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","InstantDebit","6.45","0","6.45","0","0","2026-03-14 11:40:19.901","CoreLogistics","Finalizado"
"18734169","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","punto_de_venta","5.6","0","5.6","0","0","2026-03-14 09:57:18.733","CoreLogistics","Finalizado"
"18734152","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","credits","15.93","0","15.93","0","0","2026-03-14 09:53:44.848","CoreLogistics","Finalizado"
"18733917","INVERSIONES MERCEBAR, C.A.","2 Doce Market - Las Mercedes","punto_de_venta","76.41","0","76.41","0","0","2026-03-14 00:15:18.508","CoreLogistics","Finalizado"
