Order id;Razón Social ;Sucursal;Métodos De Pago;Subtotal $;Subvención Yummy $;Subtotal Mas Subvención Yummy;Total Cupones de Comercio $;IGTF Comercio $;Fecha De La Orden;Tipo de Delivery;Estado de la orden
18758336;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;CreditsPagoMovilV2;$4.50;$0.00;$4.50;$0.00;$0.00;17/3/2026;CoreLogistics;Finalizado
18755347;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;stripe;$26.00;$0.00;$26.00;$0.00;$0.00;17/3/2026;CoreLogistics;Finalizado
18750012;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;stripe;$24.00;$0.00;$24.00;$0.00;$0.00;16/3/2026;CoreLogistics;Finalizado
18742278;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;stripe;$12.00;$0.00;$12.00;$0.00;$0.00;15/3/2026;CoreLogistics;Finalizado
18711808;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;stripe;$8.50;$0.00;$8.50;$0.00;$0.00;10/3/2026;CoreLogistics;Finalizado
18706888;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;CreditsPagoMovilV2;$15.00;$0.00;$15.00;$0.00;$0.00;9/3/2026;CoreLogistics;Finalizado
18700273;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;CreditsPagoMovilV2;$5.00;$0.00;$5.00;$0.00;$0.00;8/3/2026;CoreLogistics;Finalizado
18680659;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;megasoft;$4.00;$0.00;$4.00;$0.00;$0.00;5/3/2026;CoreLogistics;Finalizado
18670063;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;megasoft;$9.00;$0.00;$9.00;$0.00;$0.00;3/3/2026;CoreLogistics;Finalizado
18663935;INVERSIONES GASTROBAR CAFE, C.A;CAFE IN;stripe;$21.00;$0.00;$21.00;$0.00;$0.00;2/3/2026;CoreLogistics;Finalizado
