Numero de Pedido;Sucursal;Fecha de Pedido;Monto bruto de la venta;Descuento comercial neto otorgado x PeYa;Descuento otorgado por el local;Cupon otorgado por el local;Desc. neto otorgado por Peya a usuarios;Descuentos neto por Retiro en el local;Descuento por Comodín pago por el local;Envío a cargo del local;Monto neto de la Venta ($);Descuentos PedidosYa a cobrar ($);Monto comisionable Servicios PedidosYa;Servicio Ventas PedidosYA (%);Servicio Logística PedidosYA (%);Servicio Ventas PedidoYa ($);Servicio Logística PedidosYa ($);Monto venta + envió cobrado por el local;Descuento tarifa de servicio al cliente;Pedido con Comodin;Método de pago;Cobrado por;Método de entrega
1846576079;2docemarket;1/1/2026;5.79;0;0;0;0;0;0;0;5.79;0;5.79;5.00%;5.00%;0.29;0.29;5.79;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846581768;2docemarket;1/1/2026;4.62;0;0;0;0;0;0;0;4.62;0;4.62;5.00%;5.00%;0.23;0.23;0;0;No;Pago en la aplicación;PedidosYa;Envío de PedidosYa
1846583651;2docemarket;1/1/2026;81.75;0;0;0;0;0;0;0;81.75;0;81.75;5.00%;5.00%;4.09;4.09;81.75;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846627477;2docemarket;1/1/2026;9.78;0;0;0;0;0;0;0;9.78;0;9.78;5.00%;5.00%;0.49;0.49;9.78;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846615617;2docemarket;1/1/2026;12.31;0;0;0;2.22;0;0;0;9.73;2.58;12.31;5.00%;5.00%;0.62;0.62;9.73;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846629246;2docemarket;1/1/2026;9.3;0;0.8;0;0;0;0;0;8.5;0;8.5;5.00%;5.00%;0.43;0.43;8.5;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846629676;2docemarket;1/1/2026;18;0;0;0;0;0;0;0;18;0;18;5.00%;5.00%;0.9;0.9;18;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846660128;2docemarket;1/1/2026;24;0;0;0;0;0;0;0;24;0;24;5.00%;5.00%;1.2;1.2;24;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846633523;2docemarket;1/1/2026;3.21;0;0;0;0;0;0;0;3.21;0;3.21;5.00%;5.00%;0.16;0.16;3.21;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846658997;2docemarket;1/1/2026;22.39;0;0;0;0;0;0;0;22.39;0;22.39;5.00%;5.00%;1.12;1.12;0;0;No;Pago en la aplicación;PedidosYa;Envío de PedidosYa
1846661694;2docemarket;1/1/2026;1.08;0;0;0;0;0;0;0;1.08;0;1.08;5.00%;5.00%;0.05;0.05;1.08;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846662938;2docemarket;1/1/2026;5.99;0;0;0;0;0;0;0;5.99;0;5.99;5.00%;5.00%;0.3;0.3;5.99;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846677117;2docemarket;1/1/2026;10;0;0;0;0;0;0;0;10;0;10;5.00%;5.00%;0.5;0.5;10;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846665133;2docemarket;1/1/2026;22.18;0;0;0;0;0;0;0;22.18;0;22.18;5.00%;5.00%;1.11;1.11;22.18;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846665400;2docemarket;1/1/2026;2.1;0;0;0;0;0;0;0;2.1;0;2.1;5.00%;5.00%;0.11;0.11;2.1;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846679789;2docemarket;1/1/2026;10.4;0;0;0;0;0;0;0;10.4;0;10.4;5.00%;5.00%;0.52;0.52;10.4;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846679314;2docemarket;1/1/2026;9.99;0;0;0;0;0;0;0;9.99;0;9.99;5.00%;5.00%;0.5;0.5;9.99;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846708354;2docemarket;1/1/2026;36.35;0;0;0;8.12;0;0;0;26.93;9.42;36.35;5.00%;5.00%;1.82;1.82;26.93;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846722595;2docemarket;1/1/2026;3.8;0;0;0;0;0;0;0;3.8;0;3.8;5.00%;5.00%;0.19;0.19;3.8;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846723883;2docemarket;1/1/2026;76.5;0;0;0;0;0;0;0;76.5;0;76.5;5.00%;5.00%;3.83;3.83;0;0;No;Pago en la aplicación;PedidosYa;Envío de PedidosYa
1846723863;2docemarket;1/1/2026;16.1;0;0;0;0;0;0;0;16.1;0;16.1;5.00%;5.00%;0.81;0.81;16.1;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846726841;2docemarket;1/1/2026;48.5;0;0;0;0;0;0;0;48.5;0;48.5;5.00%;5.00%;2.43;2.43;48.5;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846727255;2docemarket;1/1/2026;7.1;0;0;0;0;0;0;0;7.1;0;7.1;5.00%;5.00%;0.36;0.36;7.1;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846728171;2docemarket;1/1/2026;53.5;0;0;0;0;0;0;0;53.5;0;53.5;5.00%;5.00%;2.68;2.68;0;0;No;Pago en la aplicación;PedidosYa;Envío de PedidosYa
1846795326;2docemarket;1/1/2026;37;0;0;0;4.74;0;0;0;31.5;5.5;37;5.00%;5.00%;1.85;1.85;0;0;No;Pago en la aplicación;PedidosYa;Envío de PedidosYa
1846797913;2docemarket;1/1/2026;4.47;0;0;0;0;0;0;0;4.47;0;4.47;5.00%;5.00%;0.22;0.22;4.47;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846786285;2docemarket;1/1/2026;16.01;0;0;0;0;0;0;0;16.01;0;16.01;5.00%;5.00%;0.8;0.8;16.01;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846800134;2docemarket;1/1/2026;3.8;0;0;0;0;0;0;0;3.8;0;3.8;5.00%;5.00%;0.19;0.19;0;0;No;Pago en la aplicación;PedidosYa;Envío de PedidosYa
1846826404;2docemarket;1/1/2026;8.01;0;0;0;0;0;0;0;8.01;0;8.01;5.00%;5.00%;0.4;0.4;8.01;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846827652;2docemarket;1/1/2026;41.08;0;0;0;0;0;0;0;41.08;0;41.08;5.00%;5.00%;2.05;2.05;41.08;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846786019;2docemarket;1/1/2026;36;0;0;0;0;0;0;0;36;0;36;5.00%;5.00%;1.8;1.8;36;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1846800594;2docemarket;1/1/2026;13.1;0;0;0;0;0;0;0;13.1;0;13.1;5.00%;5.00%;0.66;0.66;13.1;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1847126486;2docemarket - 24hrs;1/1/2026;20.79;0;0;0;0;0;0;-0.5;20.79;0;21.29;5.00%;0.00%;1.06;0;21.29;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1847164636;2docemarket - 24hrs;1/1/2026;14.85;0;0;0;0;0;0;-0.5;14.85;0;15.35;5.00%;0.00%;0.77;0;15.35;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1847127431;2docemarket - 24hrs;1/1/2026;4.34;0;0;0;0;0;0;-0.5;4.34;0;4.84;5.00%;0.00%;0.24;0;4.84;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1847127507;2docemarket - 24hrs;1/1/2026;17.41;0;0;0;0;0;0;-0.5;17.41;0;17.91;5.00%;0.00%;0.9;0;17.91;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1847165113;2docemarket - 24hrs;1/1/2026;1.6;0;0;0;0;0;0;-0.5;1.6;0;2.1;5.00%;0.00%;0.11;0;2.1;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1847128296;2docemarket - 24hrs;1/1/2026;5;0;0;0;0;0;0;-0.7;5;0;5.7;5.00%;0.00%;0.29;0;5.7;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1847166591;2docemarket - 24hrs;1/1/2026;7.6;0;0;0;0;0;0;-0.4;7.6;0;8;5.00%;0.00%;0.4;0;8;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1847166650;2docemarket - 24hrs;1/1/2026;1.1;0;0;0;0;0;0;-0.4;1.1;0;1.5;5.00%;0.00%;0.08;0;1.5;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1847166864;2docemarket - 24hrs;1/1/2026;3.8;0;0;0;0;0;0;-0.7;3.8;0;4.5;5.00%;0.00%;0.23;0;4.5;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1847167088;2docemarket - 24hrs;2/1/2026;3.6;0;0;0;0;0;0;-0.7;3.6;0;4.3;5.00%;0.00%;0.22;0;4.3;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1847167408;2docemarket - 24hrs;2/1/2026;10.4;0;0;0;0;0;0;-0.7;10.4;0;11.1;5.00%;0.00%;0.56;0;11.1;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1847167429;2docemarket - 24hrs;2/1/2026;5.91;0;0;0;0;0;0;-0.5;5.91;0;6.41;5.00%;0.00%;0.32;0;6.41;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1847167483;2docemarket - 24hrs;2/1/2026;10;0;0;0;0;0;0;-0.4;10;0;10.4;5.00%;0.00%;0.52;0;10.4;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1847167491;2docemarket - 24hrs;2/1/2026;3.8;0;0;0;0;0;0;-0.7;3.8;0;4.5;5.00%;0.00%;0.23;0;4.5;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1847167534;2docemarket - 24hrs;2/1/2026;2.38;0;0;0;0;0;0;-0.7;2.38;0;3.08;5.00%;0.00%;0.15;0;3.08;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1847130182;2docemarket - 24hrs;2/1/2026;17.7;0;0;0;0;0;0;-0.4;17.7;0;18.1;5.00%;0.00%;0.91;0;18.1;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1847167591;2docemarket - 24hrs;2/1/2026;5.11;0;0;0;0;0;0;-0.7;5.11;0;5.81;5.00%;0.00%;0.29;0;5.81;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1847167602;2docemarket - 24hrs;2/1/2026;14.5;0;0;0;0;0;0;-0.7;14.5;0;15.2;5.00%;0.00%;0.76;0;15.2;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1847414883;2docemarket;2/1/2026;25.29;0;0;0;0;0;0;0;25.29;0;25.29;5.00%;5.00%;1.26;1.26;25.29;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1847553522;2docemarket;2/1/2026;3.21;0;0;0;0;0;0;0;3.21;0;3.21;5.00%;5.00%;0.16;0.16;3.21;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1847657290;2docemarket;2/1/2026;11;0;0;0;0;0;0;0;11;0;11;5.00%;5.00%;0.55;0.55;11;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1847681405;2docemarket;2/1/2026;13.5;0;0;0;0;0;0;0;13.5;0;13.5;5.00%;5.00%;0.68;0.68;13.5;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1847716165;2docemarket;2/1/2026;17.26;0;0;0;0;0;0;0;17.26;0;17.26;5.00%;5.00%;0.86;0.86;17.26;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1847717978;2docemarket;2/1/2026;7.6;0;0;0;0;0;0;0;7.6;0;7.6;5.00%;5.00%;0.38;0.38;7.6;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1847750472;2docemarket;2/1/2026;10.51;0;0;0;0;0;0;0;10.51;0;10.51;5.00%;5.00%;0.53;0.53;10.51;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1847783212;2docemarket;2/1/2026;4.93;0;0;0;0;0;0;0;4.93;0;4.93;5.00%;5.00%;0.25;0.25;4.93;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1847782814;2docemarket;2/1/2026;12.89;0;0;0;11.11;0;0;0;0;12.89;12.89;5.00%;5.00%;0.64;0.64;0;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1847841002;2docemarket;2/1/2026;20.7;0;0;0;0;0;0;0;20.7;0;20.7;5.00%;5.00%;1.04;1.04;0;0;No;Pago en la aplicación;PedidosYa;Envío de PedidosYa
1847882911;2docemarket;2/1/2026;17.82;0;0;0;0;0;0;0;17.82;0;17.82;5.00%;5.00%;0.89;0.89;17.82;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1847962866;2docemarket;2/1/2026;10.35;0;0;0;8.91;0;0;0;0.01;10.34;10.35;5.00%;5.00%;0.52;0.52;0.01;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1847966625;2docemarket;2/1/2026;19.27;0;0;0;0;0;0;0;19.27;0;19.27;5.00%;5.00%;0.96;0.96;19.27;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1848079200;2docemarket;2/1/2026;39.97;0;0.27;0;0;0;0;0;39.7;0;39.7;5.00%;5.00%;1.99;1.99;39.7;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1848162962;2docemarket;2/1/2026;12.88;0;0;0;0;0;0;0;12.88;0;12.88;5.00%;5.00%;0.64;0.64;12.88;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1848197801;2docemarket;2/1/2026;3.8;0;0;0;0;0;0;0;3.8;0;3.8;5.00%;5.00%;0.19;0.19;3.8;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1848221594;2docemarket;2/1/2026;17.35;0;0;0;0;0;0;0;17.35;0;17.35;5.00%;5.00%;0.87;0.87;17.35;0;No;Pago fuera de la aplicación;Tu Local;Envío de PedidosYa
1848277658;2docemarket - 24hrs;2/1/2026;1.93;0;0.32;0;0;0;0;-0.7;1.61;0;2.31;5.00%;0.00%;0.12;0;2.31;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1848279462;2docemarket - 24hrs;2/1/2026;5.1;0;0;0;0.54;0;0;-0.27;5.1;0.63;6;5.00%;0.00%;0.3;0;5.37;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1848346414;2docemarket - 24hrs;2/1/2026;46.6;0;0;0;0;0;0;-0.9;46.6;0;47.5;5.00%;0.00%;2.38;0;47.5;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1848346775;2docemarket - 24hrs;2/1/2026;19.38;0;0;0;0;0;0;-0.85;19.38;0;20.23;5.00%;0.00%;1.01;0;20.23;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1848281188;2docemarket - 24hrs;2/1/2026;2.8;0;0;0;0;0;0;-0.6;2.8;0;3.4;5.00%;0.00%;0.17;0;3.4;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
1848370746;2docemarket - 24hrs;2/1/2026;5;0;0;0;0;0;0;-0.6;5;0;5.6;5.00%;0.00%;0.28;0;5.6;0;No;Pago fuera de la aplicación;Tu Local;Envío de tu local
