Tipo de Cargo;Número de pedido;Estado del pedido;Sucursal;Fecha del pedido;Hora;Motivo;Comentarios de los usuarios;Monto del Pedido;Reintegro al usuario por reclamo;% de cargo sobre el reintegro al usuario;Cargos por reclamos de los usuarios
Cargos por reclamos de los usuarios;1969362547;CONFIRMADO;2docemarket;14/4/2026 0:00;18:05:26;Producto incorrecto;;29,6;5,53;1.00%;-5,53
Cargos por reclamos de los usuarios;1969361434;CONFIRMADO;Dos Doce Bistro;14/4/2026 0:00;18:46:05;Orden incorrecta;;10,5;4,25;1.00%;-4,25
Cargos por reclamos de los usuarios;1969361434;CONFIRMADO;Dos Doce Bistro;14/4/2026 0:00;18:46:05;Orden incorrecta;;10,5;7,35;1.00%;-6,25
Cargos por reclamos de los usuarios;1972602908;CONFIRMADO;2doce Market - Valencia;17/4/2026 0:00;16:44:10;Producto faltante;;11,2;6,43;1.00%;-6,43
Cargos por reclamos de los usuarios;1975247358;CONFIRMADO;2doce Market - Valencia;19/4/2026 0:00;15:27:33;Calidad del producto;;4,18;0,76;1.00%;-0,76
Cargos por reclamos de los usuarios;1975508632;CONFIRMADO;2docemarket;19/4/2026 0:00;18:10:18;Producto faltante;;13,81;6,9;1.00%;-6,9
Cargos por reclamos de los usuarios;1976416804;CONFIRMADO;2docemarket;20/4/2026 0:00;14:05:18;Producto faltante;;8,69;4,29;1.00%;-4,29
Cargos por reclamos de los usuarios;1980392577;CONFIRMADO;2docemarket;24/4/2026 0:00;9:16:33;Producto faltante;;51,55;6,9;1.00%;-6,9
Cargos por reclamos de los usuarios;1980972219;CONFIRMADO;2docemarket;24/4/2026 0:00;18:22:10;Producto faltante;;26,1;23,61;1.00%;-23,61
Cargos por reclamos de los usuarios;1982905223;CONFIRMADO;2docemarket - 24hrs;25/4/2026 0:00;22:35:26;Producto incorrecto;;8,4;4,8;1.00%;-4,8
Cargos por reclamos de los usuarios;1984602154;CONFIRMADO;2docemarket;27/4/2026 0:00;13:18:31;Producto incorrecto;;10,19;5,2;1.00%;-5,2
Cargos por reclamos de los usuarios;1986656654;CONFIRMADO;2doce Market - Valencia;29/4/2026 0:00;13:22:51;Producto faltante;;36,16;3,83;1.00%;-3,83
